,personId,name,nameI,firstName,familyName,jerseyNum,assignment,gameId
339,2004,Courtney Kirkland,C. Kirkland,Courtney,Kirkland,61  ,,22200460
340,1627963,Phenizee Ransom,P. Ransom,Phenizee,Ransom,70  ,,22200460
341,1628951,John Butler,J. Butler,John,Butler,30  ,,22200460
342,2530,Ed Malloy,E. Malloy,Ed,Malloy,14  ,,22200445
343,201245,Marat Kogut,M. Kogut,Marat,Kogut,32  ,,22200445
344,1628484,Dannica Mosher,D. Mosher,Dannica,Mosher,89  ,,22200445
345,202027,Tre Maddox,T. Maddox,Tre,Maddox,23  ,,22200446
346,202901,Matt Myers,M. Myers,Matt,Myers,43  ,,22200446
347,203591,Mitchell Ervin,M. Ervin,Mitchell,Ervin,27  ,,22200446
348,201638,Brent Barnaky,B. Barnaky,Brent,Barnaky,36  ,,22200447
349,204059,Tyler Ford,T. Ford,Tyler,Ford,39  ,,22200447
350,1628954,Jenna Schroeder,J. Schroeder,Jenna,Schroeder,84  ,,22200447
351,1201,Leon Wood,L. Wood,Leon,Wood,40  ,,22200450
352,101283,Brian Forte,B. Forte,Brian,Forte,45  ,,22200450
353,1627961,Brandon Adair,B. Adair,Brandon,Adair,67  ,,22200450
354,1662,Bill Kennedy,B. Kennedy,Bill,Kennedy,55  ,,22200451
355,201246,Kevin Cutler,K. Cutler,Kevin,Cutler,34  ,,22200451
356,1627534,Andy Nagy,A. Nagy,Andy,Nagy,83  ,,22200451
357,2003,Pat Fraher,P. Fraher,Pat,Fraher,26  ,,22200440
